,Trial-ID,Status,Iteration,batch_size,hidden_unit1,hidden_unit2,lr_init,lstm_unit1,lstm_unit2,Objective
26,14,INTERMEDIATE,1,256.0,295.0,338.0,0.003913332497592999,114.0,62.0,0.9384079912434453
27,14,COMPLETED,1,256.0,295.0,338.0,0.003913332497592999,114.0,62.0,0.9384079912434453
28,15,INTERMEDIATE,1,256.0,294.0,351.0,0.002900156836480941,112.0,68.0,0.9504213955091394
29,15,COMPLETED,1,256.0,294.0,351.0,0.002900156836480941,112.0,68.0,0.9504213955091394
30,16,INTERMEDIATE,1,128.0,285.0,309.0,0.001709970415832793,231.0,78.0,0.9060679129932238
31,16,COMPLETED,1,128.0,285.0,309.0,0.001709970415832793,231.0,78.0,0.9060679129932238
32,17,INTERMEDIATE,1,256.0,303.0,501.0,0.0006993129066360047,102.0,193.0,0.9573633929957515
33,17,COMPLETED,1,256.0,303.0,501.0,0.0006993129066360047,102.0,193.0,0.9573633929957515
34,18,INTERMEDIATE,1,256.0,418.0,426.0,0.0029699540223337246,212.0,44.0,0.9022475040477255
35,18,COMPLETED,1,256.0,418.0,426.0,0.0029699540223337246,212.0,44.0,0.9022475040477255
